1-Dec-94,705.94
1-Nov-94,714.97
1-Oct-94,720.27
1-Sep-94,725.65
1-Aug-94,723.36
1-Jul-94,706.2
1-Jun-94,713.49
1-May-94,709.72
1-Apr-94,704.42
1-Mar-94,731.53
1-Feb-94,746.32
1-Jan-94,751.11
1-Dec-93,741.96
1-Nov-93,737.09
1-Oct-93,739.2
1-Sep-93,734.8
1-Aug-93,728.13
1-Jul-93,719.15
1-Jun-93,720.39
1-May-93,716.86
1-Apr-93,714.36
1-Mar-93,727.8
1-Feb-93,716.62
1-Jan-93,708.59
1-Dec-92,712.76
1-Nov-92,691.33
1-Oct-92,675.38
1-Sep-92,687.59
1-Aug-92,688.64
1-Jul-92,685.84
1-Jun-92,676.08
1-May-92,689.37
1-Apr-92,678.04
1-Mar-92,678.93
1-Feb-92,691.07
1-Jan-92,699.49
1-Dec-91,654.09
1-Nov-91,650.2
1-Oct-91,653.71
1-Sep-91,655.21
1-Aug-91,661.83
1-Jul-91,648.14
1-Jun-91,645.78
1-May-91,647.17
1-Apr-91,651.99
1-Mar-91,640.23
1-Feb-91,623.92
1-Jan-91,561.42
1-Dec-90,570.44
1-Nov-90,547.08
1-Oct-90,534.1
1-Sep-90,551.83
1-Aug-90,583.5
1-Jul-90,641
1-Jun-90,644.11
1-May-90,629.38
1-Apr-90,609.11
1-Mar-90,610.56
1-Feb-90,599.37
1-Jan-90,619.54
1-Dec-89,641.82
1-Nov-89,627.35
1-Oct-89,642.15
1-Sep-89,645.05
1-Aug-89,645.82
1-Jul-89,619.42
1-Jun-89,605.58
1-May-89,588.67
1-Apr-89,570.14
1-Mar-89,555.64
1-Feb-89,561.32
1-Jan-89,547.15
1-Dec-88,532.73
1-Nov-88,523
1-Oct-88,535.8
1-Sep-88,519.37
1-Aug-88,514.47
1-Jul-88,527.22
1-Jun-88,532.6
1-May-88,506.02
1-Apr-88,520.64
1-Mar-88,529.5
1-Feb-88,516.57
1-Jan-88,502.66
1-Dec-87,484.85
1-Nov-87,492.9
1-Oct-87,564.21
1-Sep-87,643.4
1-Aug-87,668.49
1-Jul-87,632.64
1-Jun-87,616.52
1-May-87,593.45
1-Apr-87,595.97
1-Mar-87,605.79
1-Feb-87,584.37
1-Jan-87,552.23
1-Dec-86,522.32
1-Nov-86,515.43
1-Oct-86,499.69
1-Sep-86,502.04
1-Aug-86,518.51
1-Jul-86,509.28
1-Jun-86,520.09
1-May-86,508.46
1-Apr-86,508.8
1-Mar-86,495.7
1-Feb-86,466.03
1-Jan-86,441.03
1-Dec-85,440.33
1-Nov-85,420.67
1-Oct-85,397.69
1-Sep-85,394.66
1-Aug-85,404.79
1-Jul-85,414.58
1-Jun-85,407.59
1-May-85,400.07
1-Apr-85,392.23
1-Mar-85,391.45
1-Feb-85,396.22
1-Jan-85,377.63
1-Dec-84,362.69
1-Nov-84,366.66
1-Oct-84,363.35
1-Sep-84,367.26
1-Aug-84,365.24
1-Jul-84,336.99
1-Jun-84,342.76
1-May-84,351.62
1-Apr-84,354.89
1-Mar-84,356.17
1-Feb-84,356.64
1-Jan-84,379.12
1-Dec-83,376.78
1-Nov-83,378.99
1-Oct-83,385.49
1-Sep-83,385.48
1-Aug-83,376.29
1-Jul-83,388.11
1-Jun-83,388.27
1-May-83,384.06
1-Apr-83,371.32
1-Mar-83,360.22
1-Feb-83,348.13
1-Jan-83,342.55
1-Dec-82,331.6
1-Nov-82,327.16
1-Oct-82,313.73
1-Sep-82,290.27
1-Aug-82,260.68
1-Jul-82,260.5
1-Jun-82,262.56
1-May-82,282.09
1-Apr-82,284.52
1-Mar-82,272.21
1-Feb-82,281
1-Jan-82,288.79
1-Dec-81,305.77
1-Nov-81,304.52
1-Oct-81,297.79
1-Sep-81,294.69
1-Aug-81,325.99
1-Jul-81,327.21
1-Jun-81,339.02
1-May-81,340.49
1-Apr-81,350.2
1-Mar-81,349.43
1-Feb-81,339.14
1-Jan-81,354.92
